evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
294,301932,4124854746,12,6,2016,19,9,54,139519145,16.4081,-1.46339,1.4521,30.451,-1.89759,-3.02045,27.0853,-1.75851,-1.61401,39.9577,0.689054,0.307143,0.307143,0.0
368,301973,265488622,13,6,2016,7,25,21,674506200,26.4286,2.22006,-1.16291,120.46,1.904,-1.03236,38.1253,2.29096,-2.52446,34.6802,-1.10266,0.080125,0.080125,41.0
235,302053,1019524190,14,6,2016,23,39,15,293181590,387.673,0.886287,-1.15126,51.2276,-0.668236,-3.13261,423.688,1.53562,1.51736,73.7258,-2.59575,7.05646e-13,7.05646e-13,80.0
236,302053,1341672456,15,6,2016,0,59,33,596308975,41.1413,1.70241,2.7638,25.4642,1.9773,0.374373,23.8678,2.0246,-0.720975,39.5062,2.92369,0.203173,0.203173,0.0
237,302053,3750618585,15,6,2016,12,17,21,747952480,77.8612,0.888339,-0.535343,66.9252,1.56187,0.0595715,90.3525,0.362112,2.52023,70.2647,1.43107,0.25203,0.25203,0.0
151,302265,75171150,17,6,2016,2,26,14,913031085,22.3099,-1.90913,2.99998,22.3027,-2.30797,-0.413401,41.3031,0.923047,0.578805,30.5629,-2.695,0.0247054,0.0247054,212.0
152,302265,582358445,17,6,2016,4,49,56,644675095,30.4121,0.510019,1.28294,17.2459,0.208757,2.07524,120.311,1.80711,-1.35479,79.4811,2.09152,0.593653,0.593653,0.0
80,302300,3654398106,18,6,2016,9,37,54,358829175,22.5023,0.508055,0.207055,44.4882,-0.224317,1.71192,72.3245,1.12239,-2.39426,44.6386,0.0383474,0.335932,0.335932,35.0
81,302300,2425055636,18,6,2016,3,7,22,503817285,117.501,0.543401,-1.12342,42.7171,0.207854,-1.17715,60.9369,-0.626543,1.89267,78.5304,1.67,0.618604,0.618604,0.0
82,302300,1295050718,17,6,2016,21,29,34,920217505,37.9797,-2.20586,-2.21634,120.318,-0.353428,-0.689546,15.3477,-1.06145,-0.0372291,73.1386,2.26123,0.0988748,0.0988748,0.0
219,302347,1058073218,19,6,2016,2,8,22,548539790,84.1611,0.224413,2.20582,20.0833,-1.03192,2.33796,34.8966,1.43499,-0.947364,75.1815,-0.787426,0.226325,0.226325,47.0
220,302347,1146133120,19,6,2016,2,32,23,8541920,18.8252,-2.21792,1.18706,46.1069,-2.41292,-3.12404,20.9698,1.40045,-2.03519,36.7368,-0.245992,0.0276975,0.0276975,0.0
221,302347,1544741676,19,6,2016,4,12,32,860678840,83.7518,-2.01018,-1.33885,49.9329,1.68307,-0.96613,127.277,1.00612,1.71893,36.504,-1.24038,3.71588e-11,3.71588e-11,0.0
34,302380,279589469,19,6,2016,11,40,51,881336740,20.0743,-0.47672,-0.948588,36.0397,-0.178021,-0.48474,38.8973,-0.586562,-1.59408,53.0223,0.0785993,0.0431387,0.0431387,33.0
35,302380,748487318,19,6,2016,13,55,45,177438385,47.7893,0.360496,2.31247,120.289,1.62918,2.1276,115.658,1.55282,-0.785481,48.3123,-1.3888,0.0800795,0.0800795,0.0
328,302393,2726520352,20,6,2016,16,32,27,726583155,78.4053,-1.4644,1.1446,47.532,-1.06401,1.59538,28.6631,-1.5134,0.166358,56.7731,2.62047,0.249301,0.249301,13.0
329,302393,3413594923,20,6,2016,19,59,6,167579175,164.892,0.598647,-2.57815,24.3831,0.333034,-2.34396,173.222,-0.656686,-2.75046,254.807,-2.71541,0.291,0.291,0.0
330,302393,376889932,20,6,2016,5,49,4,230975095,30.4021,0.435562,1.25822,18.311,0.144608,1.68199,87.5533,-1.32608,0.948874,43.9406,-2.4137,0.0797026,0.0797026,0.0
284,302872,264477276,26,6,2016,18,58,36,274843900,51.2405,0.814612,0.252263,48.0066,1.27529,1.1904,44.0887,-0.488269,-2.51911,39.8285,-2.30867,0.502287,0.502287,479.0
285,302872,1896085233,27,6,2016,3,30,27,683649270,66.7281,-1.91636,1.72008,97.4898,-1.91087,-0.969189,29.6686,1.2134,1.93968,34.3119,2.35088,1.99243e-05,1.99243e-05,0.0
286,302872,554287032,26,6,2016,20,18,7,858646015,181.19,0.706186,2.72347,48.9696,2.38343,-1.64333,25.8973,1.20721,0.0398602,82.7687,-0.287495,0.000641526,0.000641526,0.0
287,302872,639794343,26,6,2016,20,40,14,851594780,44.5422,-1.56715,0.328841,56.9939,0.385205,-2.09581,39.524,0.776853,-1.76942,70.9788,-1.76782,0.0508804,0.0508804,0.0
